,Group,Played Before,Explanation Reason,Explanation Counterfactual,Question Context,Question Text,Answer 1,Answer 2,Answer 3,True Action,True Target,Explanation Variable,Explanation Target,Answer Action 1,Answer Action 2,Answer Action 3,Answer Target 1,Answer Target 2,Answer Target 3,Correct Answer,User Answer,User Correct
19,2,False,He intentat que algú em parlés perquè la Persona A mirava lluny de mi.,"Si Persona A em mirés una mica, hauria intentat que la Persona A em parlés.","Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més lluny que ningú més.",Què creus que faria si en Bob em mirés una mica?,Intentaré parlar amb en Bob,Intentaré parlar amb la Persona A,Intentaré que algú em parli,ELICIT_GENERAL,None,Mutual Gaze,bmnak,ELICIT_TARGET,ELICIT_TARGET,ELICIT_GENERAL,NEWPERSON,bmnak,None,1,4,False
20,0,False,He intentat parlar amb la Persona B.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més lluny que ningú més, i em mirés directament.",Què creus que faria si no estigués segura de la meva detecció de l'esquelet de en Bob?,Intentaré parlar amb la Persona A,Intentaré parlar amb la Persona B,Intentaré parlar amb en Bob,ELICIT_TARGET,jksmw,Pose Estimation Confidence,jksmw,ELICIT_TARGET,ELICIT_TARGET,ELICIT_TARGET,kyjsa,jksmw,NEWPERSON,3,2,False
21,0,False,He intentat parlar amb la Persona B.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més lluny que ningú més.",Què creus que faria si en Bob no em mirés?,Intentaré parlar amb en Bob,Intentaré que algú em parli,Intentaré parlar amb la Persona B,ELICIT_TARGET,hlkop,Mutual Gaze,hlkop,ELICIT_TARGET,ELICIT_GENERAL,ELICIT_TARGET,NEWPERSON,None,hlkop,3,1,False
22,1,False,He intentat que algú em parlés perquè la Persona A i jo no ens miràvem directament.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més aprop que ningú més.",Què creus que faria si en Bob i jo ens miréssim directament?,Intentaré parlar amb en Bob,Intentaré que algú em parli,Intentaré parlar amb la Persona A,ELICIT_GENERAL,None,Mutual Gaze,xzffh,ELICIT_TARGET,ELICIT_GENERAL,ELICIT_TARGET,NEWPERSON,None,xzffh,1,1,True
23,1,False,He intentat que algú em parlés perquè la Persona A mirava lluny de mi.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més lluny que ningú més.",Què creus que faria si en Bob no em mirés?,Intentaré parlar amb en Bob,Intentaré parlar amb la Persona A,Intentaré que algú em parli,ELICIT_GENERAL,None,Mutual Gaze,xxwhd,ELICIT_TARGET,ELICIT_TARGET,ELICIT_GENERAL,NEWPERSON,xxwhd,None,3,2,False
24,2,True,He intentat parlar amb la Persona B perquè estava segura de la meva detecció de l'esquelet de la Persona B.,"Si estigués molt insegura de la meva detecció de l'esquelet de Persona B, hauria intentat que algú em parlés.","Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més lluny que ningú més, i em mirés directament.",Què creus que faria si estigués molt segura de la meva detecció de l'esquelet de en Bob?,Intentaré parlar amb la Persona A,Intentaré parlar amb en Bob,Intentaré parlar amb la Persona B,ELICIT_TARGET,jyyvn,Pose Estimation Confidence,jyyvn,ELICIT_TARGET,ELICIT_TARGET,ELICIT_TARGET,unwrx,NEWPERSON,jyyvn,2,1,False
25,0,False,He intentat parlar amb la Persona A.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi i em mirés directament.",Què creus que faria si en Bob no estigués gens interessada en mi?,Intentaré que algú em parli,Intentaré parlar amb la Persona A,Intentaré parlar amb en Bob,ELICIT_TARGET,uwjgi,Engagement Value,uwjgi,ELICIT_GENERAL,ELICIT_TARGET,ELICIT_TARGET,None,uwjgi,NEWPERSON,2,3,False
26,1,False,He intentat que algú em parlés perquè la Persona D no estava gens interessada en mi.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més lluny que ningú més, i em mirés directament.",Què creus que faria si en Bob no estigués interessada en mi?,Intentaré parlar amb la Persona D,Intentaré parlar amb en Bob,Intentaré parlar amb la Persona A,ELICIT_GENERAL,None,Engagement Value,buxgm,ELICIT_TARGET,ELICIT_TARGET,ELICIT_TARGET,buxgm,NEWPERSON,iiqti,2,2,True
27,2,False,He intentat que algú em parlés perquè la Persona B estava a més de 1m de mi.,"Si Persona B estigués a menys de 1m de mi, hauria intentat que la Persona B em parlés.","Imagina't que hi hagués una persona addicional, en Bob, que em mirés directament.","Què creus que faria si en Bob estigués a un 1m de mi, i més aprop que ningú més?",Intentaré que algú em parli,Intentaré parlar amb en Bob,Intentaré parlar amb la Persona B,ELICIT_GENERAL,None,Distance,itfre,ELICIT_GENERAL,ELICIT_TARGET,ELICIT_TARGET,None,NEWPERSON,itfre,2,2,True
28,0,False,He intentat parlar amb la Persona B.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi.",Què creus que faria si en Bob i jo ens miréssim directament?,Intentaré parlar amb la Persona A,Intentaré parlar amb en Bob,Intentaré parlar amb la Persona B,ELICIT_TARGET,ukoqd,Mutual Gaze,ukoqd,ELICIT_TARGET,ELICIT_TARGET,ELICIT_TARGET,ihzop,NEWPERSON,ukoqd,2,2,True
29,0,True,He intentat parlar amb la Persona B.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més lluny que ningú més.",Què creus que faria si en Bob mirés lluny de mi?,Intentaré parlar amb la Persona B,Intentaré parlar amb en Bob,Intentaré que algú em parli,ELICIT_TARGET,vxsst,Mutual Gaze,vxsst,ELICIT_TARGET,ELICIT_TARGET,ELICIT_GENERAL,vxsst,NEWPERSON,None,1,3,False
30,1,False,He intentat que algú em parlés perquè la Persona A no estava gens interessada en mi.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi, i més aprop que ningú més, i em mirés directament.",Què creus que faria si en Bob estigués molt interessada en mi?,Intentaré parlar amb en Bob,Intentaré que algú em parli,Intentaré parlar amb la Persona A,ELICIT_GENERAL,None,Engagement Value,eiupr,ELICIT_TARGET,ELICIT_GENERAL,ELICIT_TARGET,NEWPERSON,None,eiupr,1,1,True
31,2,True,He intentat parlar amb la Persona D perquè la Persona D estava a menys de 3m de mi.,"Si Persona D estigués a més de 3m de mi, hauria intentat que algú em parlés.","Imagina't que hi hagués una persona addicional, en Bob, que em mirés directament.","Què creus que faria si en Bob estigués a uns 0.5m de mi, i més aprop que ningú més?",Intentaré que algú em parli,Intentaré parlar amb en Bob,Intentaré parlar amb la Persona D,ELICIT_TARGET,rkquf,Distance,rkquf,ELICIT_GENERAL,ELICIT_TARGET,ELICIT_TARGET,None,NEWPERSON,rkquf,2,3,False
32,1,False,He intentat que algú em parlés perquè la Persona A no em mirava.,,"Imagina't que hi hagués una persona addicional, en Bob, que estigués a 2m de mi.",Què creus que faria si en Bob no em mirés?,Intentaré que algú em parli,Intentaré parlar amb la Persona A,Intentaré parlar amb en Bob,ELICIT_GENERAL,None,Mutual Gaze,ybbkc,ELICIT_GENERAL,ELICIT_TARGET,ELICIT_TARGET,None,ybbkc,NEWPERSON,1,2,False
